23,"[['START', '\\left', '\\langle', '\\frac', '{', 'd', 'C', '}', '{', 'd', 't', '}', '\\right', '\\rangle'], ['START', '\\frac', '{', 'e', 'C', '}', '{', '1', '-', 'e', '{', '2', '}', '}', '\\left', '\\langle', '\\frac', '{', 'd', 'e', '}', '{', 'd', 't', '}', '\\right', '\\rangle']]"
48,"[['START', '3', '\\widetilde', '{', '\\Gamma', '}', '{', '2', 'j', '}', '-', '3', '\\Gamma', '{', '2', 'j', '}'], ['START', '-', '3', 'R', '4', '(', '0', ')', 'a', '{', '2', 'j', '}', '2', '-', '6', '\\int', '{', '\\gamma', 'j', '}', '\\frac', '{', 'S', '2', 'R', '4', '}', '{', 'r', '5', '}', '\\psi', '2', '\\varphi', '1', '4', 'd', 'w', '+', '3', '\\int', '{', '\\gamma', 'j', '}', '\\frac', '{', 'S', '2', 'R', '3', '}', '{', 'r', '4', '}', '\\psi', '2', '2', '\\varphi', '1', '3', 'd', 'w']]"
49,"[['START', '\\mathrm', '{', 'o', 'r', '}', '\\sqrt', '{', '\\alpha', '2', '-', '\\beta', '2', '}', '-', 'c'], ['START', '-', '\\betaz', '+', '\\alpha', '\\sqrt', '{', '1', '+', 'z', '2', '}']]"
58,"[['START', '\\frac', '{', '1', '}', '{', '2', '}', '\\int', '{', '0', '}', '{', '1', '}', '\\frac', '{', 'd', '}', '{', 'd', 's', '}', 'g', '\\big', '(', '\\dot', '{', 'r', '}', '(', 's', 't', ')', '\\dot', '{', 'r', '}', '(', 's', 't', ')', '\\big', ')', 'd', 't'], ['START', '\\int', '{', '0', '}', '{', '1', '}', 'g', '\\big', '(', '\\frac', '{', 'D', '}', '{', 'd', 's', '}', '\\dot', '{', 'r', '}', '(', 's', 't', ')', '\\dot', '{', 'r', '}', '(', 's', 't', ')', '\\big', ')', 'd', 't']]"
60,"[['START', '\\sum', '{', '\\mu', '=', '1', '}', '\\infty', '\\frac', '{', '\\mu', '{', '\\mu', '-', '1', '}', '}', '{', '\\mu', '}', 'e', '{', '-', '\\mu', '}', 'x', '\\mu', 't', '-', '1'], ['START', '\\sum', '{', '\\mu', '=', '1', '}', '\\infty', '\\frac', '{', '\\mu', '{', '\\mu', '}', '}', '{', '\\mu', '}', 'e', '{', '-', '\\mu', '}', 'x', '\\mu']]"
82,"[['START', '\\frac', '{', '\\omega', 'n', '}', '{', '\\omega', '{', 'n', '-', 'j', '}', '}', '\\left', '(', '\\int', '{', '{', '\\rmG', '}', '{', 'n', 'n', '-', 'j', '}', '}', 'V', '{', 'n', '-', 'j', '}', '(', 'K', '\\xi', ')', '{', '-', '1', '}', 'd', '\\mu', '{', 'n', '-', 'j', '}', '(', '\\xi', ')', '\\right', ')', '{', '-', '1', '}', 'j'], ['START', '1', '\\ldots', 'n', '-', '1']]"
87,"[['START', '{', '\\cal', '{', 'H', '}', '}', '{', 's', 'p', '}', '+', '{', '\\cal', '{', 'H', '}', '}', 'c', '+', '{', '\\cal', '{', 'H', '}', '}', 'd'], ['START', 'T', '+', 'V', '\\']]"
93,"[['START', '\\frac', '{', 'e', '{', '-', '\\gammat', '}', '}', '{', 'L', '{', '\\sigma', '}', '}', '\\mathrm', '{', 'I', 'm', '}', '\\sum', '{', 'n', '=', '-', 'N', '}', '{', 'n', '=', 'N', '}', '(', '-', '\\gammau', 'n', '+', '\\dot', '{', 'u', '}', 'n', ')'], ['START', '\\frac', '{', 'e', '{', '-', '\\gammat', '}', '}', '{', 'L', '{', '\\sigma', '}', '}', '\\mathrm', '{', 'I', 'm', '}', '\\sum', '{', 'n', '=', '-', 'N', '}', '{', 'n', '=', 'N', '}', '\\left', '{', '(', '\\lambda', '+', 'i', '\\alpha', ')', '(', 'u', '{', 'n', '-', '1', '}', '-', '2', 'u', 'n', '+', 'u', '{', 'n', '+', '1', '}', ')', '+', 'F', '(', 'u', 'n', ')', '\\right', '}']]"
103,"[['START', '\\frac', '{', '2', 'c', '}', '{', '\\sqrt', '{', 'g', '}', '}', '\\frac', '{', '\\delta', 'S', '}', '{', '\\delta', 'g', '{', 'i', 'k', '}', '}', '\\Leftrightarrow', '\\nT', '{', 'i', 'k', '}'], ['START', '-', '\\frac', '{', '2', 'c', '}', '{', '\\sqrt', '{', 'g', '}', '}', '\\frac', '{', '\\delta', 'S', '}', '{', '\\delta', 'g', '{', 'i', 'k', '}', '}', '\\']]"
114,"[['START', '-', '\\frac', '{', '1', '}', '{', '3', '}', '\\left', '{', '\\nabla', '{', 'x', '}', '\\cdot', '\\vec', '{', 'u', '}', '(', '\\vec', '{', 'x', '}', ')', '\\right', '}', '\\frac', '{', 'p', '{', '2', '}', '}', '{', 'E', '}', '\\stackrel', '{', '\\rm', 'a', 'v', 'e', '}', '{', '\\xrightarrow', '{', '\\hspace', '*', '{', '1', 'c', 'm', '}', '}', '}', 'b', '{', '\\rm', 'a', 'd', 'i', 'a', '}', '(', 'K', ')'], ['START', '-', '\\frac', '{', 'V', '{', '\\rm', 'c', 'o', 'n', 'v', '}', '}', '{', '3', 'h', '}', '\\frac', '{', 'p', '{', '2', '}', '}', '{', 'E', '}']]"
